Portfolio,year,Feedstock,Commodity,Commodity Unit,Unit Code,Buildout,Variable Category,Variable Subcategory,Variable Unit,Conversion Value,Value,Uncertainty Range Category
Current Projects 1.29.2024,2025,Solar,Electricity,Megawatts,MW,1209.090909090909,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363636,NA
Current Projects 1.29.2024,2026,Solar,Electricity,Megawatts,MW,2418.181818181818,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363636,NA
Current Projects 1.29.2024,2027,Solar,Electricity,Megawatts,MW,3627.272727272727,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363636,NA
Current Projects 1.29.2024,2028,Solar,Electricity,Megawatts,MW,4836.363636363636,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363636,NA
Current Projects 1.29.2024,2029,Solar,Electricity,Megawatts,MW,6045.454545454545,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363636,NA
Current Projects 1.29.2024,2030,Solar,Electricity,Megawatts,MW,7254.545454545454,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363636,NA
Current Projects 1.29.2024,2031,Solar,Electricity,Megawatts,MW,8463.636363636364,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363639,NA
Current Projects 1.29.2024,2032,Solar,Electricity,Megawatts,MW,9672.727272727272,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363633,NA
Current Projects 1.29.2024,2033,Solar,Electricity,Megawatts,MW,10881.81818181818,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363633,NA
Current Projects 1.29.2024,2034,Solar,Electricity,Megawatts,MW,12090.909090909088,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363633,NA
Current Projects 1.29.2024,2035,Solar,Electricity,Megawatts,MW,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363645,NA
Current Projects 1.29.2024,2036,Solar,Electricity,Megawatts,MW,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2037,Solar,Electricity,Megawatts,MW,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2038,Solar,Electricity,Megawatts,MW,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2039,Solar,Electricity,Megawatts,MW,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2040,Solar,Electricity,Megawatts,MW,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2041,Solar,Electricity,Megawatts,MW,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2042,Solar,Electricity,Megawatts,MW,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2043,Solar,Electricity,Megawatts,MW,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
Current Projects 1.29.2024,2044,Solar,Electricity,Megawatts,MW,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,NA
