Feedstock,Commodity,Commodity Unit,Unit Code,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
Solar,Electricity,Megawatts,MW,1171,2342,3513,4684,5854,7025,8196,9367,10538,11709,12880,14051,15221,16392,17563,18734,19905,21076,22247,23418,24589
Solar,Hydrogen,Metric Tons,MT,0,0,0,0,0,117306,167580,167580,167580,167580,167580,239400,239400,239400,239400,239400,342000,342000,342000,342000,342000
Wind,Electricity,Megawatts,MW,99,212,325,438,551,664,777,890,1003,1116,1229,1342,1455,1568,1681,1794,1907,2020,2132,2245,2358
Biomass,Electricity,Megawatts,MW,0,5,5,5,5,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Li Battery,Electricity,Megawatts,MW,588,1176,1764,2353,2941,3529,4117,4705,5293,5881,6470,7058,7646,8234,8822,9410,9998,10586,11175,11763,12351
LDES,Electricity,Megawatts,MW,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000
Natural Gas,Hydrogen,Metric Tons,MT,0,10950,10950,39102,39102,39102,55860,55860,55860,55860,55860,79800,79800,79800,79800,79800,114000,114000,114000,114000,114000
Biomass,Hydrogen,Metric Tons,MT,,,,,,,,,,,,,,,,,,,,,
Agricultural waste,Hydrogen,Metric Tons,MT,,,,,,,,,,,,,,,,,,,,,
Forest waste,Hydrogen,Metric Tons,MT,,,,,,,,,,,,,,,,,,,,,
Animal Manure,Natural Gas,Million Cubic Feet,MCF,3736,5338,5338,5338,5338,5338,7625,7625,7625,7625,7625,10893,10893,10893,10893,10893,15562,15562,15562,15562,15562
Foodscraps,Natural Gas,Million Cubic Feet,MCF,659,942,942,942,942,942,1346,1346,1346,1346,1346,1922,1922,1922,1922,1922,2746,2746,2746,2746,2746
Landfill Gas,Natural Gas,Million Cubic Feet,MCF,,,,,,,,,,,,,,,,,,,,,
Wastewater,Natural Gas,Million Cubic Feet,MCF,,,,,,,,,,,,,,,,,,,,,
Plant Oil,Jet Fuel,Million Gallons,MGal,0,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5
Animal Fat,Jet Fuel,Million Gallons,MGal,0,0,0,0,0,0,6.4,6.4,6.4,6.4,6.4,8,8,8,8,8,10,10,10,10,10
