Portfolio,Feedstock,Commodity,Commodity Unit,Unit Code,Buildout,Use,Weight
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,1209.090909090909,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,2418.181818181818,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,3627.272727272727,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,4836.363636363636,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,6045.454545454545,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,7254.545454545454,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,8463.636363636364,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,9672.727272727272,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,10881.81818181818,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,12090.909090909088,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,13300,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,13300,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,13300,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,13300,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,13300,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,13300,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,13300,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,13300,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,13300,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,13300,Power Grid,1
Current Projects 1.29.2024,Solar,Electricity,Megawatts,MW,13300,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,24.545454545454547,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,49.09090909090909,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,73.63636363636364,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,98.18181818181819,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,122.72727272727273,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,147.27272727272728,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,171.8181818181818,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,196.36363636363637,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,220.90909090909093,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,245.4545454545455,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,270,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,270,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,270,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,270,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,270,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,270,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,270,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,270,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,270,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,270,Power Grid,1
Current Projects 1.29.2024,Wind,Electricity,Megawatts,MW,270,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,672.7272727272727,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,1345.4545454545455,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,2018.1818181818182,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,2690.909090909091,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,3363.636363636364,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,4036.363636363637,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,4709.09090909091,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,5381.818181818183,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,6054.545454545456,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,6727.272727272729,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,7400,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,7400,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,7400,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,7400,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,7400,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,7400,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,7400,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,7400,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,7400,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,7400,Power Grid,1
Current Projects 1.29.2024,Li Battery,Electricity,Megawatts,MW,7400,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,90.9090909090909,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,181.8181818181818,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,272.72727272727275,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,363.6363636363636,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,454.5454545454545,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,545.4545454545454,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,636.3636363636363,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,727.2727272727271,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,818.181818181818,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,909.0909090909089,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,1000,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,1000,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,1000,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,1000,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,1000,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,1000,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,1000,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,1000,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,1000,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,1000,Power Grid,1
Current Projects 1.29.2024,LDES,Electricity,Megawatts,MW,1000,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,1.5610651974288337,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,3.1221303948576673,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,4.683195592286501,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,6.244260789715335,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,7.805325987144168,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,9.366391184573002,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,10.927456382001836,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,12.48852157943067,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,14.049586776859503,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,15.610651974288336,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,17.17171717171717,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,17.17171717171717,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,17.17171717171717,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,17.17171717171717,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,17.17171717171717,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,17.17171717171717,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,17.17171717171717,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,17.17171717171717,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,17.17171717171717,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,17.17171717171717,Power Grid,1
Current Projects 1.29.2024,Forest waste,Electricity,Megawatts,MW,17.17171717171717,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,0.2571166207529844,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,0.5142332415059688,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,0.7713498622589532,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,1.0284664830119377,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,1.2855831037649221,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,1.5426997245179066,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,1.799816345270891,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,2.0569329660238753,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,2.31404958677686,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,2.5711662075298443,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,2.8282828282828287,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,2.8282828282828287,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,2.8282828282828287,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,2.8282828282828287,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,2.8282828282828287,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,2.8282828282828287,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,2.8282828282828287,Power Grid,1
Current Projects 1.29.2024,Agricultural waste,Electricity,Megawatts,MW,2.8282828282828287,Power Grid,1
