Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Buildout,Conversion Factor MJ,Unit MJ,Effective Unit,Effective Energy Factor,Energy Produced,Energy Unit,Generated Emissions in F2C,Use,Weight,Compared to,Useful Output Unit,Adjustment Factor,Carbon Intensity of Use,Adjusted Energy Used in MJ,Emissions Avoided in C2U,Net Avoided Emissions,Net Avoided Emissions Unit
Solar,PV,Electricity,Megawatts,MW,2025,1000,3599.8225679871703,MJ per MWh,Effective MWh per MW,2294.03577178978,8258121743.058716,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,40.01041142439811,8258121743.058716,330410848532.5469,0.3304108485325469,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2026,2000,3599.8225679871703,MJ per MWh,Effective MWh per MW,2240.1604058664384,16128359969.89861,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,38.837041315114696,16128359969.89861,626377782495.9943,0.6263777824959943,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2027,3000,3599.8225679871703,MJ per MWh,Effective MWh per MW,2186.2850399430968,23610714680.519676,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,37.66367120583128,23610714680.519676,889266194661.7867,0.8892661946617867,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2028,4000,3599.8225679871703,MJ per MWh,Effective MWh per MW,2132.409674019755,30705185874.92192,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,36.49030109654787,30705185874.92192,1120441477801.3694,1.1204414778013694,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2029,5000,3599.8225679871703,MJ per MWh,Effective MWh per MW,2078.5343080964135,37411773553.10533,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,35.31693098726445,37411773553.10533,1321269024686.1863,1.3212690246861862,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2030,6000,3599.8225679871703,MJ per MWh,Effective MWh per MW,2024.658942173072,43730477715.06994,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,34.14356087798104,43730477715.06994,1493114228087.6836,1.4931142280876837,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2031,7000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1970.7835762497307,49661298360.81571,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,32.97019076869762,49661298360.81571,1637342480777.3044,1.6373424807773045,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2032,8000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1916.9082103263893,55204235490.34267,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,31.79682065941421,55204235490.34267,1755319175526.4949,1.755319175526495,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2033,9000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1863.0328444030479,60359289103.6508,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,30.623450550130794,60359289103.6508,1848409705106.6987,1.8484097051066988,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2034,10000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1809.1574784797065,65126459200.740105,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,29.45008044084738,65126459200.740105,1917979462289.361,1.9179794622893611,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2035,11000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1755.282112556365,69505745781.6106,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,28.276710331563965,69505745781.6106,1965393839845.9268,1.9653938398459267,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2036,12000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1701.4067466330237,73497148846.26225,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,27.10334022228055,73497148846.26225,1992018230547.8403,1.9920182305478404,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2037,13000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1647.5313807096823,77100668394.6951,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,25.92997011299714,77100668394.6951,1999218027166.547,1.9992180271665472,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2038,14000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1593.6560147863408,80316304426.90912,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,24.756600003713725,80316304426.90912,1988358622473.491,1.988358622473491,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2039,15000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1539.7806488629994,83144056942.90431,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,23.58322989443031,83144056942.90431,1960805409240.117,1.960805409240117,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2040,16000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1485.905282939658,85583925942.68068,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,22.409859785146896,85583925942.68068,1917923780237.8699,1.91792378023787,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2041,17000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1432.0299170163166,87635911426.23824,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,21.23648967586348,87635911426.23824,1861079128238.1948,1.8610791282381949,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2042,18000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1378.1545510929752,89300013393.57697,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,20.063119566580067,89300013393.57697,1791636846012.5361,1.791636846012536,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2043,19000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1324.2791851696338,90576231844.69687,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,18.889749457296652,90576231844.69687,1710962326332.3384,1.7109623263323384,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2044,20000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1270.4038192462924,91464566779.59795,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,17.716379348013238,91464566779.59795,1620420961969.0466,1.6204209619690466,million MT CO2e
Solar,PV,Electricity,Megawatts,MW,2045,20000,3599.8225679871703,MJ per MWh,Effective MWh per MW,1216.528453322951,87585731617.40971,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,16.543009238729827,87585731617.40971,1448931567327.72,1.4489315673277199,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2025,25,3599.8225679871703,MJ per MWh,Effective MWh per MW,2502.80869010139,225241680.1495348,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,40.01041142439811,225241680.1495348,9012012292.705572,0.009012012292705571,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2026,50,3599.8225679871703,MJ per MWh,Effective MWh per MW,2482.767125429623,446876056.4589095,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,38.837041315114696,446876056.4589095,17355343867.430195,0.017355343867430196,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2027,75,3599.8225679871703,MJ per MWh,Effective MWh per MW,2462.725560757856,664903128.9281241,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,37.66367120583128,664903128.9281241,25042692831.677307,0.02504269283167731,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2028,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,2442.683996086089,879322897.5571787,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,36.49030109654787,879322897.5571787,32086757292.950367,0.032086757292950366,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2029,125,3599.8225679871703,MJ per MWh,Effective MWh per MW,2422.642431414322,1090135362.3460734,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,35.31693098726445,1090135362.3460734,38500235358.7528,0.0385002353587528,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2030,150,3599.8225679871703,MJ per MWh,Effective MWh per MW,2402.600866742555,1297340523.2948077,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,34.14356087798104,1297340523.2948077,44295825136.58804,0.04429582513658804,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2031,175,3599.8225679871703,MJ per MWh,Effective MWh per MW,2382.559302070788,1500938380.403382,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,32.97019076869762,1500938380.403382,49486224733.95954,0.04948622473395954,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2032,200,3599.8225679871703,MJ per MWh,Effective MWh per MW,2362.517737399021,1700928933.6717966,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,31.79682065941421,1700928933.6717966,54084132258.37076,0.054084132258370755,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2033,225,3599.8225679871703,MJ per MWh,Effective MWh per MW,2342.476172727254,1897312183.1000507,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,30.623450550130794,1897312183.1000507,58102245817.3251,0.05810224581732511,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2034,250,3599.8225679871703,MJ per MWh,Effective MWh per MW,2322.434608055487,2090088128.688145,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,29.45008044084738,2090088128.688145,61553263518.326035,0.06155326351832603,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2035,275,3599.8225679871703,MJ per MWh,Effective MWh per MW,2302.39304338372,2279256770.436079,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,28.276710331563965,2279256770.436079,64449883468.87699,0.06444988346887699,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2036,300,3599.8225679871703,MJ per MWh,Effective MWh per MW,2282.351478711953,2464818108.3438535,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,27.10334022228055,2464818108.3438535,66804803776.48142,0.06680480377648142,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2037,325,3599.8225679871703,MJ per MWh,Effective MWh per MW,2262.309914040186,2646772142.411467,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,25.92997011299714,2646772142.411467,68630722548.64275,0.06863072254864275,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2038,350,3599.8225679871703,MJ per MWh,Effective MWh per MW,2242.268349368419,2825118872.6389213,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,24.756600003713725,2825118872.6389213,69940337892.86443,0.06994033789286443,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2039,375,3599.8225679871703,MJ per MWh,Effective MWh per MW,2222.226784696652,2999858299.026215,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,23.58322989443031,2999858299.026215,70746347916.6499,0.0707463479166499,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2040,400,3599.8225679871703,MJ per MWh,Effective MWh per MW,2202.185220024885,3170990421.573349,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,22.409859785146896,3170990421.573349,71061450727.5026,0.0710614507275026,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2041,400,3599.8225679871703,MJ per MWh,Effective MWh per MW,2182.143655353118,3142131990.852069,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,21.23648967586348,3142131990.852069,66727853583.93033,0.06672785358393032,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2042,400,3599.8225679871703,MJ per MWh,Effective MWh per MW,2162.102090681351,3113273560.1307883,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,20.063119566580067,3113273560.1307883,62461979680.376404,0.0624619796803764,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2043,400,3599.8225679871703,MJ per MWh,Effective MWh per MW,2142.060526009584,3084415129.4095078,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,18.889749457296652,3084415129.4095078,58263829016.840836,0.05826382901684084,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2044,400,3599.8225679871703,MJ per MWh,Effective MWh per MW,2122.018961337817,3055556698.688227,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,17.716379348013238,3055556698.688227,54133401593.323616,0.05413340159332362,million MT CO2e
Wind,Wind turbine,Electricity,Megawatts,MW,2045,400,3599.8225679871703,MJ per MWh,Effective MWh per MW,2101.97739666605,3026698267.9669466,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,16.543009238729827,3026698267.9669466,50070697409.82476,0.05007069740982476,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2025,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,40.01041142439811,421574615.73723745,16867373821.729408,0.016867373821729408,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2026,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,38.837041315114696,421574615.73723745,16372710768.790693,0.016372710768790693,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2027,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,37.66367120583128,421574615.73723745,15878047715.851976,0.015878047715851978,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2028,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,36.49030109654787,421574615.73723745,15383384662.913261,0.01538338466291326,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2029,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,35.31693098726445,421574615.73723745,14888721609.974545,0.014888721609974544,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2030,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,34.14356087798104,421574615.73723745,14394058557.03583,0.01439405855703583,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2031,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,32.97019076869762,421574615.73723745,13899395504.097113,0.013899395504097113,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2032,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,31.79682065941421,421574615.73723745,13404732451.158398,0.013404732451158398,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2033,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,30.623450550130794,421574615.73723745,12910069398.219683,0.012910069398219683,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2034,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,29.45008044084738,421574615.73723745,12415406345.280966,0.012415406345280966,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2035,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,28.276710331563965,421574615.73723745,11920743292.34225,0.01192074329234225,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2036,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,27.10334022228055,421574615.73723745,11426080239.403536,0.011426080239403535,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2037,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,25.92997011299714,421574615.73723745,10931417186.46482,0.010931417186464822,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2038,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,24.756600003713725,421574615.73723745,10436754133.526106,0.010436754133526106,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2039,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,23.58322989443031,421574615.73723745,9942091080.587389,0.00994209108058739,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2040,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,22.409859785146896,421574615.73723745,9447428027.648674,0.009447428027648674,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2041,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,21.23648967586348,421574615.73723745,8952764974.709957,0.008952764974709957,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2042,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,20.063119566580067,421574615.73723745,8458101921.771242,0.008458101921771242,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2043,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,18.889749457296652,421574615.73723745,7963438868.832526,0.007963438868832527,million MT CO2e
Li Battery,Battery Storage,Electricity,Megawatts,MW,2044,100,3599.8225679871703,MJ per MWh,Effective MWh per MW,1171.0983188067505,421574615.73723745,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,17.716379348013238,421574615.73723745,7468775815.89381,0.00746877581589381,million MT CO2e
