Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Buildout,Conversion Factor MJ,Unit MJ,Effective Unit,Effective Energy Factor,Energy Produced,Energy Unit,Generated Emissions in F2C,Use,Weight,Compared to,Useful Output Unit,Adjustment Factor,Carbon Intensity of Use,Adjusted Energy Used in MJ,Emissions Avoided in C2U,Net Avoided Emissions,Net Avoided Emissions Unit,portfolio
Solar,PV,Electricity,Megawatts,MW,2025,1209.090909,3599.822568,MJ per MWh,Effective MWh per MW,2294.035772,9984819926,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,40.01041142,9984819926,3.99497E+11,0.399496753,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2026,2418.181818,3599.822568,MJ per MWh,Effective MWh per MW,2240.160406,19500653418,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,38.83704132,19500653418,7.57348E+11,0.757347682,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2027,3627.272727,3599.822568,MJ per MWh,Effective MWh per MW,2186.28504,28547500477,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,37.66367121,28547500477,1.0752E+12,1.075203672,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2028,4836.363636,3599.822568,MJ per MWh,Effective MWh per MW,2132.409674,37125361103,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,36.4903011,37125361103,1.35472E+12,1.354715605,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2029,6045.454545,3599.822568,MJ per MWh,Effective MWh per MW,2078.534308,45234235296,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,35.31693099,45234235296,1.59753E+12,1.597534366,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2030,7254.545455,3599.822568,MJ per MWh,Effective MWh per MW,2024.658942,52874123055,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,34.14356088,52874123055,1.80531E+12,1.805310839,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2031,8463.636364,3599.822568,MJ per MWh,Effective MWh per MW,1970.783576,60045024382,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,32.97019077,60045024382,1.9797E+12,1.979695909,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2032,9672.727273,3599.822568,MJ per MWh,Effective MWh per MW,1916.90821,66746939275,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,31.79682066,66746939275,2.12234E+12,2.122340458,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2033,10881.81818,3599.822568,MJ per MWh,Effective MWh per MW,1863.032844,72979867734,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,30.62345055,72979867734,2.2349E+12,2.234895371,million MT CO2e,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2034,12090.90909,3599.822568,MJ per MWh,Effective MWh per MW,1809.157478,78743809761,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,29.45008044,78743809761,2.31901E+12,2.319011532,million MT CO2e,Portfolio - Current Projects 1.29.2024
