Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Variable Unit,Value,Conversion Value,portfolio
Solar,PV,Electricity,Megawatts,MW,2025,1209.090909090909,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363636,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2026,2418.181818181818,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363636,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2027,3627.272727272727,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363636,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2028,4836.363636363636,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363636,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2029,6045.454545454545,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363636,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2030,7254.545454545454,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363636,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2031,8463.636363636364,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363639,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2032,9672.727272727272,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363633,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2033,10881.81818181818,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363633,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2034,12090.909090909088,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363633,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2035,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,40.38363636363645,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2036,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2037,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2038,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2039,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2040,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2041,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2042,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2043,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2044,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2045,13300,Jobs,Bachelors - No or Some Training,# of New Jobs,0.0334,0,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2025,1209.090909090909,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090908,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2026,2418.181818181818,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090908,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2027,3627.272727272727,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090908,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2028,4836.363636363636,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090908,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2029,6045.454545454545,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090908,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2030,7254.545454545454,Jobs,Graduate Degree,# of New Jobs,0.00562,6.795090909090908,Portfolio - Current Projects 1.29.2024
