Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Uncertainty Range Category,Variable Unit,Value,Conversion Value
Solar,PV,Electricity,Megawatts,MW,2025,1000,Land,Land Consumed,High,acres,4.2,4200
Solar,PV,Electricity,Megawatts,MW,2026,2000,Land,Land Consumed,High,acres,4.2,8400
Solar,PV,Electricity,Megawatts,MW,2027,3000,Land,Land Consumed,High,acres,4.2,12600
Solar,PV,Electricity,Megawatts,MW,2028,4000,Land,Land Consumed,High,acres,4.2,16800
Solar,PV,Electricity,Megawatts,MW,2029,5000,Land,Land Consumed,High,acres,4.2,21000
Solar,PV,Electricity,Megawatts,MW,2030,6000,Land,Land Consumed,High,acres,4.2,25200
Solar,PV,Electricity,Megawatts,MW,2031,7000,Land,Land Consumed,High,acres,4.2,29400
Solar,PV,Electricity,Megawatts,MW,2032,8000,Land,Land Consumed,High,acres,4.2,33600
Solar,PV,Electricity,Megawatts,MW,2033,9000,Land,Land Consumed,High,acres,4.2,37800
Solar,PV,Electricity,Megawatts,MW,2034,10000,Land,Land Consumed,High,acres,4.2,42000
Solar,PV,Electricity,Megawatts,MW,2035,11000,Land,Land Consumed,High,acres,4.2,46200
Solar,PV,Electricity,Megawatts,MW,2036,12000,Land,Land Consumed,High,acres,4.2,50400
Solar,PV,Electricity,Megawatts,MW,2037,13000,Land,Land Consumed,High,acres,4.2,54600
Solar,PV,Electricity,Megawatts,MW,2038,14000,Land,Land Consumed,High,acres,4.2,58800
Solar,PV,Electricity,Megawatts,MW,2039,15000,Land,Land Consumed,High,acres,4.2,63000
Solar,PV,Electricity,Megawatts,MW,2040,16000,Land,Land Consumed,High,acres,4.2,67200
Solar,PV,Electricity,Megawatts,MW,2041,17000,Land,Land Consumed,High,acres,4.2,71400
Solar,PV,Electricity,Megawatts,MW,2042,18000,Land,Land Consumed,High,acres,4.2,75600
Solar,PV,Electricity,Megawatts,MW,2043,19000,Land,Land Consumed,High,acres,4.2,79800
Solar,PV,Electricity,Megawatts,MW,2044,20000,Land,Land Consumed,High,acres,4.2,84000
Solar,PV,Electricity,Megawatts,MW,2045,20000,Land,Land Consumed,High,acres,4.2,84000
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,0,Land,Land Consumed,High,acres,0.08196,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,0,Land,Land Consumed,High,acres,0.08196,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,0,Land,Land Consumed,High,acres,0.08196,0
