Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Uncertainty Range Category,Variable Unit,Value,Conversion Value,portfolio
Solar,PV,Electricity,Megawatts,MW,2025,1209.090909090909,Land,Land Consumed,High,acres,4.2,5078.181818181818,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2026,2418.181818181818,Land,Land Consumed,High,acres,4.2,10156.363636363636,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2027,3627.272727272727,Land,Land Consumed,High,acres,4.2,15234.545454545454,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2028,4836.363636363636,Land,Land Consumed,High,acres,4.2,20312.727272727272,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2029,6045.454545454545,Land,Land Consumed,High,acres,4.2,25390.909090909092,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2030,7254.545454545454,Land,Land Consumed,High,acres,4.2,30469.090909090908,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2031,8463.636363636364,Land,Land Consumed,High,acres,4.2,35547.27272727273,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2032,9672.727272727272,Land,Land Consumed,High,acres,4.2,40625.454545454544,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2033,10881.81818181818,Land,Land Consumed,High,acres,4.2,45703.63636363636,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2034,12090.909090909088,Land,Land Consumed,High,acres,4.2,50781.81818181817,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2035,13300,Land,Land Consumed,High,acres,4.2,55860,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2036,13300,Land,Land Consumed,High,acres,4.2,55860,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2037,13300,Land,Land Consumed,High,acres,4.2,55860,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2038,13300,Land,Land Consumed,High,acres,4.2,55860,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2039,13300,Land,Land Consumed,High,acres,4.2,55860,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2040,13300,Land,Land Consumed,High,acres,4.2,55860,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2041,13300,Land,Land Consumed,High,acres,4.2,55860,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2042,13300,Land,Land Consumed,High,acres,4.2,55860,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2043,13300,Land,Land Consumed,High,acres,4.2,55860,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2044,13300,Land,Land Consumed,High,acres,4.2,55860,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2045,13300,Land,Land Consumed,High,acres,4.2,55860,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,17590.909090909092,Land,Land Consumed,High,acres,0.08196,1441.7509090909093,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,35181.818181818184,Land,Land Consumed,High,acres,0.08196,2883.5018181818186,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,52772.72727272728,Land,Land Consumed,High,acres,0.08196,4325.252727272728,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,70363.63636363637,Land,Land Consumed,High,acres,0.08196,5767.003636363637,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2029,87954.54545454546,Land,Land Consumed,High,acres,0.08196,7208.754545454546,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2030,105545.45454545454,Land,Land Consumed,High,acres,0.08196,8650.505454545455,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2031,123136.36363636363,Land,Land Consumed,High,acres,0.08196,10092.256363636365,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2032,140727.27272727274,Land,Land Consumed,High,acres,0.08196,11534.007272727275,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2033,158318.18181818182,Land,Land Consumed,High,acres,0.08196,12975.758181818182,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2034,175909.0909090909,Land,Land Consumed,High,acres,0.08196,14417.509090909092,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2035,193500,Land,Land Consumed,High,acres,0.08196,15859.26,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2036,193500,Land,Land Consumed,High,acres,0.08196,15859.26,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2037,193500,Land,Land Consumed,High,acres,0.08196,15859.26,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2038,193500,Land,Land Consumed,High,acres,0.08196,15859.26,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2039,193500,Land,Land Consumed,High,acres,0.08196,15859.26,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2040,193500,Land,Land Consumed,High,acres,0.08196,15859.26,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2041,193500,Land,Land Consumed,High,acres,0.08196,15859.26,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2042,193500,Land,Land Consumed,High,acres,0.08196,15859.26,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2043,193500,Land,Land Consumed,High,acres,0.08196,15859.26,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2044,193500,Land,Land Consumed,High,acres,0.08196,15859.26,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2045,193500,Land,Land Consumed,High,acres,0.08196,15859.26,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2025,24.545454545454547,Land,Land Consumed,High,acres,4.2,103.09090909090911,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2026,49.09090909090909,Land,Land Consumed,High,acres,4.2,206.18181818181822,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2027,73.63636363636364,Land,Land Consumed,High,acres,4.2,309.2727272727273,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2028,98.18181818181819,Land,Land Consumed,High,acres,4.2,412.36363636363643,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2029,122.72727272727273,Land,Land Consumed,High,acres,4.2,515.4545454545455,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2030,147.27272727272728,Land,Land Consumed,High,acres,4.2,618.5454545454546,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2031,171.8181818181818,Land,Land Consumed,High,acres,4.2,721.6363636363636,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2032,196.36363636363637,Land,Land Consumed,High,acres,4.2,824.7272727272729,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2033,220.90909090909093,Land,Land Consumed,High,acres,4.2,927.818181818182,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2034,245.4545454545455,Land,Land Consumed,High,acres,4.2,1030.9090909090912,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2035,270,Land,Land Consumed,High,acres,4.2,1134,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2036,270,Land,Land Consumed,High,acres,4.2,1134,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2037,270,Land,Land Consumed,High,acres,4.2,1134,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2038,270,Land,Land Consumed,High,acres,4.2,1134,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2039,270,Land,Land Consumed,High,acres,4.2,1134,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2040,270,Land,Land Consumed,High,acres,4.2,1134,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2041,270,Land,Land Consumed,High,acres,4.2,1134,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2042,270,Land,Land Consumed,High,acres,4.2,1134,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2043,270,Land,Land Consumed,High,acres,4.2,1134,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2044,270,Land,Land Consumed,High,acres,4.2,1134,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2045,270,Land,Land Consumed,High,acres,4.2,1134,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2025,1209.090909090909,Land,Land Impacted,High,acres,5.25,6347.727272727272,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2026,2418.181818181818,Land,Land Impacted,High,acres,5.25,12695.454545454544,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2027,3627.272727272727,Land,Land Impacted,High,acres,5.25,19043.181818181816,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2028,4836.363636363636,Land,Land Impacted,High,acres,5.25,25390.90909090909,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2029,6045.454545454545,Land,Land Impacted,High,acres,5.25,31738.63636363636,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2030,7254.545454545454,Land,Land Impacted,High,acres,5.25,38086.36363636363,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2031,8463.636363636364,Land,Land Impacted,High,acres,5.25,44434.09090909091,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2032,9672.727272727272,Land,Land Impacted,High,acres,5.25,50781.81818181818,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2033,10881.81818181818,Land,Land Impacted,High,acres,5.25,57129.54545454545,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2034,12090.909090909088,Land,Land Impacted,High,acres,5.25,63477.27272727271,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2035,13300,Land,Land Impacted,High,acres,5.25,69825,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2036,13300,Land,Land Impacted,High,acres,5.25,69825,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2037,13300,Land,Land Impacted,High,acres,5.25,69825,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2038,13300,Land,Land Impacted,High,acres,5.25,69825,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2039,13300,Land,Land Impacted,High,acres,5.25,69825,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2040,13300,Land,Land Impacted,High,acres,5.25,69825,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2041,13300,Land,Land Impacted,High,acres,5.25,69825,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2042,13300,Land,Land Impacted,High,acres,5.25,69825,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2043,13300,Land,Land Impacted,High,acres,5.25,69825,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2044,13300,Land,Land Impacted,High,acres,5.25,69825,Portfolio - Current Projects 1.29.2024
Solar,PV,Electricity,Megawatts,MW,2045,13300,Land,Land Impacted,High,acres,5.25,69825,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,17590.909090909092,Land,Land Impacted,High,acres,0.10245,1802.1886363636365,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,35181.818181818184,Land,Land Impacted,High,acres,0.10245,3604.377272727273,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,52772.72727272728,Land,Land Impacted,High,acres,0.10245,5406.565909090909,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,70363.63636363637,Land,Land Impacted,High,acres,0.10245,7208.754545454546,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2029,87954.54545454546,Land,Land Impacted,High,acres,0.10245,9010.943181818182,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2030,105545.45454545454,Land,Land Impacted,High,acres,0.10245,10813.131818181819,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2031,123136.36363636363,Land,Land Impacted,High,acres,0.10245,12615.320454545454,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2032,140727.27272727274,Land,Land Impacted,High,acres,0.10245,14417.509090909092,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2033,158318.18181818182,Land,Land Impacted,High,acres,0.10245,16219.697727272727,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2034,175909.0909090909,Land,Land Impacted,High,acres,0.10245,18021.886363636364,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2035,193500,Land,Land Impacted,High,acres,0.10245,19824.075,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2036,193500,Land,Land Impacted,High,acres,0.10245,19824.075,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2037,193500,Land,Land Impacted,High,acres,0.10245,19824.075,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2038,193500,Land,Land Impacted,High,acres,0.10245,19824.075,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2039,193500,Land,Land Impacted,High,acres,0.10245,19824.075,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2040,193500,Land,Land Impacted,High,acres,0.10245,19824.075,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2041,193500,Land,Land Impacted,High,acres,0.10245,19824.075,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2042,193500,Land,Land Impacted,High,acres,0.10245,19824.075,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2043,193500,Land,Land Impacted,High,acres,0.10245,19824.075,Portfolio - Current Projects 1.29.2024
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2044,193500,Land,Land Impacted,High,acres,0.10245,19824.075,Portfolio - Current Projects 1.29.2024
