Feedstock,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Uncertainty Range Category,Variable Unit,Value,diff,Conversion Value
Solar,Electricity,Megawatts,MW,2025,1210.909091,Land,Land Consumed,High,acres,4.2,NA,5085.818182200001
Solar,Electricity,Megawatts,MW,2026,2421.818182,Land,Land Consumed,High,acres,4.2,1210.909091,5085.818182200001
Solar,Electricity,Megawatts,MW,2027,3632.727273,Land,Land Consumed,High,acres,4.2,1210.909091,5085.818182200001
Solar,Electricity,Megawatts,MW,2028,4843.636364,Land,Land Consumed,High,acres,4.2,1210.909091,5085.818182200001
Solar,Electricity,Megawatts,MW,2029,6054.545455,Land,Land Consumed,High,acres,4.2,1210.9090910000004,5085.818182200002
Solar,Electricity,Megawatts,MW,2030,7265.454545,Land,Land Consumed,High,acres,4.2,1210.9090899999992,5085.818177999997
Solar,Electricity,Megawatts,MW,2031,8476.363636,Land,Land Consumed,High,acres,4.2,1210.9090910000004,5085.818182200002
Solar,Electricity,Megawatts,MW,2032,9687.272727,Land,Land Consumed,High,acres,4.2,1210.9090909999995,5085.818182199998
Solar,Electricity,Megawatts,MW,2033,10898.18182,Land,Land Consumed,High,acres,4.2,1210.9090930000002,5085.818190600001
Solar,Electricity,Megawatts,MW,2034,12109.09091,Land,Land Consumed,High,acres,4.2,1210.909090000001,5085.818178000004
Solar,Electricity,Megawatts,MW,2035,13320,Land,Land Consumed,High,acres,4.2,1210.9090899999992,5085.818177999997
Solar,Electricity,Megawatts,MW,2036,13320,Land,Land Consumed,High,acres,4.2,0,0
Solar,Electricity,Megawatts,MW,2037,13320,Land,Land Consumed,High,acres,4.2,0,0
Solar,Electricity,Megawatts,MW,2038,13320,Land,Land Consumed,High,acres,4.2,0,0
Solar,Electricity,Megawatts,MW,2039,13320,Land,Land Consumed,High,acres,4.2,0,0
Solar,Electricity,Megawatts,MW,2040,13320,Land,Land Consumed,High,acres,4.2,0,0
