Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Variable Unit,Value,Conversion Value
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2025,0,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,0
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2026,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2027,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2028,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2029,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2030,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2031,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2032,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2033,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2034,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2035,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2036,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2037,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2038,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2039,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2040,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2041,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2042,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2043,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2044,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2045,30000,Water Quantity,Water Consumption,acre-feet per year,0.008592884477874856,257.78653433624567
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,0,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,0,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,0,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,0,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2029,0,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,0
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2030,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2031,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2032,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2033,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2034,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2035,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2036,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2037,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2038,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2039,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2040,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2041,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2042,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2043,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2044,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2045,10000,Water Quantity,Water Consumption,acre-feet per year,0.012582437985459612,125.82437985459612
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2025,0,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,0
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2026,30000,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,293.8766491433201
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2027,30000,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,293.8766491433201
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2028,30000,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,293.8766491433201
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2029,30000,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,293.8766491433201
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2030,30000,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,293.8766491433201
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2031,30000,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,293.8766491433201
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2032,30000,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,293.8766491433201
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2033,30000,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,293.8766491433201
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2034,30000,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,293.8766491433201
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2035,30000,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,293.8766491433201
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2036,30000,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,293.8766491433201
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2037,30000,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,293.8766491433201
Natural Gas + CCS,SMR + CCS,Hydrogen,Metric Tons,MT,2038,30000,Water Quantity,Water Withdrawal,acre-feet per year,0.009795888304777336,293.8766491433201
