Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Variable Unit,Value,Conversion Value,portfolio
Agricultural waste,Gasification/ Pyrolysis + Conditioning,Hydrogen,Metric Tons,MT,2025,975,Water Quantity,Water Consumption,acre-feet per year,0.01245968249291854,12.148190430595577,Portfolio - Current Projects 1.29.2024
Agricultural waste,Gasification/ Pyrolysis + Conditioning,Hydrogen,Metric Tons,MT,2026,1950,Water Quantity,Water Consumption,acre-feet per year,0.01245968249291854,24.296380861191153,Portfolio - Current Projects 1.29.2024
Agricultural waste,Gasification/ Pyrolysis + Conditioning,Hydrogen,Metric Tons,MT,2027,2925,Water Quantity,Water Consumption,acre-feet per year,0.01245968249291854,36.44457129178673,Portfolio - Current Projects 1.29.2024
Agricultural waste,Gasification/ Pyrolysis + Conditioning,Hydrogen,Metric Tons,MT,2028,3900,Water Quantity,Water Consumption,acre-feet per year,0.01245968249291854,48.592761722382306,Portfolio - Current Projects 1.29.2024
Agricultural waste,Gasification/ Pyrolysis + Conditioning,Hydrogen,Metric Tons,MT,2029,4875,Water Quantity,Water Consumption,acre-feet per year,0.01245968249291854,60.74095215297788,Portfolio - Current Projects 1.29.2024
Agricultural waste,Gasification/ Pyrolysis + Conditioning,Hydrogen,Metric Tons,MT,2030,5850,Water Quantity,Water Consumption,acre-feet per year,0.01245968249291854,72.88914258357346,Portfolio - Current Projects 1.29.2024
Agricultural waste,Gasification/ Pyrolysis + Conditioning,Hydrogen,Metric Tons,MT,2031,6825,Water Quantity,Water Consumption,acre-feet per year,0.01245968249291854,85.03733301416904,Portfolio - Current Projects 1.29.2024
Agricultural waste,Gasification/ Pyrolysis + Conditioning,Hydrogen,Metric Tons,MT,2032,7800,Water Quantity,Water Consumption,acre-feet per year,0.01245968249291854,97.18552344476461,Portfolio - Current Projects 1.29.2024
Agricultural waste,Gasification/ Pyrolysis + Conditioning,Hydrogen,Metric Tons,MT,2033,8775,Water Quantity,Water Consumption,acre-feet per year,0.01245968249291854,109.33371387536019,Portfolio - Current Projects 1.29.2024
Agricultural waste,Gasification/ Pyrolysis + Conditioning,Hydrogen,Metric Tons,MT,2034,9750,Water Quantity,Water Consumption,acre-feet per year,0.01245968249291854,121.48190430595577,Portfolio - Current Projects 1.29.2024
Agricultural waste,Gasification/ Pyrolysis + Conditioning,Hydrogen,Metric Tons,MT,2035,10725,Water Quantity,Water Consumption,acre-feet per year,0.01245968249291854,133.63009473655134,Portfolio - Current Projects 1.29.2024
Agricultural waste,Gasification/ Pyrolysis + Conditioning,Hydrogen,Metric Tons,MT,2036,10725,Water Quantity,Water Consumption,acre-feet per year,0.01245968249291854,133.63009473655134,Portfolio - Current Projects 1.29.2024
Agricultural waste,Gasification/ Pyrolysis + Conditioning,Hydrogen,Metric Tons,MT,2037,10725,Water Quantity,Water Consumption,acre-feet per year,0.01245968249291854,133.63009473655134,Portfolio - Current Projects 1.29.2024
Agricultural waste,Gasification/ Pyrolysis + Conditioning,Hydrogen,Metric Tons,MT,2038,10725,Water Quantity,Water Consumption,acre-feet per year,0.01245968249291854,133.63009473655134,Portfolio - Current Projects 1.29.2024
